------Table Size ( 100000 ) ------
Eps      d       w       MeanS   MedianS
2        1       100000  91.0741686186782        91.0741686186782
2        1       100000  91.070675635017         91.070675635017
2        1       100000  91.0717345238569        91.0717345238569
2        1       100000  91.0749993050407        91.0749993050407
2        1       100000  91.0753119565117        91.0753119565117
2        1       100000  91.0772916930734        91.0772916930734
2        2       50000   130.939931285169        130.939931285169
2        2       50000   130.939674728065        130.939674728065
2        2       50000   130.941587456999        130.941587456999
2        2       50000   130.941871818475        130.941871818475
2        2       50000   130.943579475481        130.943579475481
2        2       50000   130.944674834803        130.944674834803
2        4       25000   188.983465980593        95.5497384264577
2        4       25000   188.980763365359        95.5412945640573
2        4       25000   188.981871317495        95.54185390334
2        4       25000   188.984434276869        95.5476800662682
2        4       25000   188.984905578633        95.5548649718788
2        4       25000   188.985603188202        95.560269818757
2        5       20000   207.529486011548        100.664817800681
2        5       20000   207.525079419546        100.658624695798
2        5       20000   207.52916877505         100.662296495484
2        5       20000   207.530520936972        100.669104555448
2        5       20000   207.532662134562        100.672775898417
2        5       20000   207.533967294425        100.688383107581
2        8       12500   257.366543571714        105.106874265443
2        8       12500   257.364269716398        105.099591015106
2        8       12500   257.369632636312        105.116440062302
2        8       12500   257.370819612133        105.128976018401
2        8       12500   257.369183915943        105.14569512245
2        8       12500   257.370340334095        105.160155124207
2        10      10000   288.482444561734        116.417180743687
2        10      10000   288.473742971236        116.415403645099
2        10      10000   288.475742484194        116.429643946082
2        10      10000   288.477610527034        116.441732065282
2        10      10000   288.482715544292        116.442168061376
2        10      10000   288.483583025544        116.44686444919
2        16      6250    882.136094537468        487.282700454205
2        16      6250    882.123150518186        487.259401712553
2        16      6250    882.128265609931        487.290024742209
2        16      6250    882.130461700701        487.319168052471
2        16      6250    882.157691204795        487.315473447494
2        16      6250    882.152784045265        487.360347643494
2        20      5000    1392.61599475046        1490.63567144249
2        20      5000    1392.61811609307        1490.73081540259
2        20      5000    1392.60640352609        1490.69418546791
2        20      5000    1392.58165838556        1490.61057828062
2        20      5000    1392.56484776714        1490.54956780553
2        20      5000    1392.54952141465        1490.49720285325
2        25      4000    2066.386918181  	2220.50491146993
2        25      4000    2066.40687889616        2220.57580423016
2        25      4000    2066.38786941414        2220.53413497498
2        25      4000    2066.3772237843         2220.55297410929
2        25      4000    2066.37685955451        2220.50935506764
2        25      4000    2066.37814670702        2220.57339328841
2        32      3125    429.889218961535        140.211002106845
2        32      3125    429.890944795192        140.149001591412
2        32      3125    429.905627067295        140.123082801994
2        32      3125    429.911687711391        140.135438481046
2        32      3125    429.924726214881        140.059471934508
2        32      3125    429.924712706485        140.068114410623
2        40      2500    4552.58892312927        5316.65640716845
2        40      2500    4552.58118298904        5316.61221606735
2        40      2500    4552.56510843698        5316.55429173908
2        40      2500    4552.58725165621        5316.52492731656
2        40      2500    4552.65702580956        5316.57840550829
2        40      2500    4552.55893910063        5316.5234750081
2        50      2000    5489.62578797935        6087.11442220517
2        50      2000    5489.57666167781        6087.03512693413
2        50      2000    5489.57657245676        6087.09512309547
2        50      2000    5489.57299017539        6087.04092439338
2        50      2000    5489.55597355046        6087.05912574074
2        50      2000    5489.60656973255        6087.05212560496
2        80      1250    9942.26328385472        11178.0192675713
2        80      1250    9942.4286046063         11178.0231327788
2        80      1250    9942.44844690517        11178.0264049711
2        80      1250    9942.40326613931        11178.241406005
2        80      1250    9942.44332410363        11178.4318935873
2        80      1250    9942.48539214322        11178.5224944446
2        100     1000    11852.6281089957        13031.4308111119
2        100     1000    11852.5360175261        13031.5325272585
2        100     1000    11852.4624600392        13031.4446908542
2        100     1000    11852.5178533645        13031.4655024884
2        100     1000    11852.5226597086        13031.7840548103
2        100     1000    11852.5141000055        13031.7562911719
2        125     800     12149.7475435391        14053.2998349539
2        125     800     12149.7529848472        14053.575633916
2        125     800     12149.8012141058        14053.0869875345
2        125     800     12149.7029133133        14053.7021104218
2        125     800     12149.6745193898        14053.7755469755
2        125     800     12149.7109281065        14053.9545366346
2        160     625     892.406386006978        253.260907150576
2        160     625     892.388373442665        252.932414312584
2        160     625     892.382851300245        253.280103512726
2        160     625     892.381886991518        253.962715585302
2        160     625     892.394693033354        253.619220233921
2        160     625     892.424138272621        253.689430534603
2        200     500     11890.6027460169        4832.79100527162
2        200     500     11890.5551613266        4832.69237252234
2        200     500     11890.7947894034        4833.09970434772
2        200     500     11890.752223922         4833.89246725605
2        200     500     11890.8473031467        4834.69425349407
2        200     500     11890.7636395203        4835.1548985922
2        250     400     11936.1183351536        3181.96465555579
2        250     400     11936.2052256924        3180.64795790303
2        250     400     11935.870826204         3181.48282834744
2        250     400     11935.9275879427        3182.55572133699
2        250     400     11935.5939325403        3183.09685488396
2        250     400     11935.7560548602        3183.85914262487
2        400     250     11937.4863465376        1961.90108210851
2        400     250     11937.5682588688        1961.50108575827
2        400     250     11937.5995383821        1961.60776946612
2        400     250     11937.4694017016        1960.77193041214
2        400     250     11937.4626747045        1961.54688766738
2        400     250     11937.7853501845        1961.55266013874
2        500     200     12007.5390886105        1922.1064351683
2        500     200     12007.6503303551        1920.66169233503
2        500     200     12007.8585323764        1920.72581821814
2        500     200     12007.6233728942        1920.3645035748
2        500     200     12007.6056964049        1919.64232823967
2        500     200     12007.3726575953        1920.51304266591
2        625     160     12401.4790646202        1308.88815479245
2        625     160     12401.446417787         1308.42490846894
2        625     160     12401.6027394702        1310.47200392129
2        625     160     12401.9594074542        1309.92165954053
2        625     160     12401.9524905001        1310.05951186469
2        625     160     12401.7229106567        1308.87259733401
2        800     125     2540.96619199847        427.195424572217
2        800     125     2540.692398572  431.850133338697
2        800     125     2541.63039732293        429.718503185191
2        800     125     2542.22452319885        432.524037494925
2        800     125     2540.92883808022        430.612306906509
2        800     125     2540.19917887232        432.703928378891
2        1000    100     12183.998793846         1446.18241156165
2        1000    100     12184.2930661883        1440.09783328567
2        1000    100     12184.5788234972        1436.9289412058
2        1000    100     12184.6196791105        1434.50315807641
2        1000    100     12183.9899460129        1435.95066546866
2        1000    100     12184.9072505029        1440.02952920427
