------Table Size ( 10000 ) ------
Eps      d       w       MeanS   MedianS
2        1       10000   535.129258775079        535.129258775079
2        1       10000   535.135468771692        535.135468771692
2        1       10000   535.133909932928        535.133909932928
2        1       10000   535.139422466309        535.139422466309
2        1       10000   535.135425384371        535.135425384371
2        1       10000   535.136752209431        535.136752209431
2        2       5000    728.014464327828        728.014464327828
2        2       5000    728.012453908357        728.012453908357
2        2       5000    728.011028167262        728.011028167262
2        2       5000    728.008322542696        728.008322542696
2        2       5000    728.01254525445         728.01254525445
2        2       5000    728.006095941574        728.006095941574
2        4       2500    967.29668923857         599.156569759343
2        4       2500    967.29472810171         599.170727514247
2        4       2500    967.29554514392         599.169883381752
2        4       2500    967.296335621397        599.174376965246
2        4       2500    967.292501755615        599.159390397448
2        4       2500    967.294072382184        599.149871811227
2        5       2000    1028.63618207461        537.205860632287
2        5       2000    1028.6394583353         537.212244909503
2        5       2000    1028.64126060517        537.232365499439
2        5       2000    1028.62989594752        537.244327541602
2        5       2000    1028.63981544185        537.254022125293
2        5       2000    1028.63755851288        537.281758911851
2        8       1250    1205.60386589783        590.167142196503
2        8       1250    1205.60150799111        590.175102978172
2        8       1250    1205.60441836517        590.185396550987
2        8       1250    1205.59598632049        590.140216352986
2        8       1250    1205.59372793803        590.102076479456
2        8       1250    1205.58881491349        590.144045345511
2        10      1000    1351.94367426952        636.521196934079
2        10      1000    1351.9457116841         636.528991157847
2        10      1000    1351.94688331745        636.532329291077
2        10      1000    1351.94947363893        636.571860361237
2        10      1000    1351.96099909778        636.546031561088
2        10      1000    1351.97186045792        636.573419329157
2        16      625     1608.60189983597        681.818962638995
2        16      625     1608.58850285782        681.854266310908
2        16      625     1608.59282107126        681.950107540767
2        16      625     1608.61029680408        681.954047120293
2        16      625     1608.60837482629        682.013355250059
2        16      625     1608.63274208032        681.976658619532
2        20      500     13000.254572419         12534.6061241132
2        20      500     13000.2558277117        12534.6453617915
2        20      500     13000.2459030102        12534.4892299045
2        20      500     13000.2169843442        12534.4668669642
2        20      500     13000.2695108224        12534.568789647
2        20      500     13000.3369242299        12534.6831356126
2        25      400     19498.5886049172        26163.6053251972
2        25      400     19498.6162090617        26163.614007014
2        25      400     19498.5830979797        26163.5668207426
2        25      400     19498.4829000621        26163.5897645534
2        25      400     19498.4193385005        26163.3167414081
2        25      400     19498.4153442049        26163.3075142
2        40      250     44980.043305825         56959.9341564317
2        40      250     44979.877144287         56959.1556610156
2        40      250     44980.0211190942        56959.4625188317
2        40      250     44980.0563051206        56959.4196192651
2        40      250     44979.9625324887        56959.7891099953
2        40      250     44980.1921344835        56959.9868546466
2        50      200     54447.9307372305        61678.9013211136
2        50      200     54448.0516907541        61678.8511790545
2        50      200     54448.2116035215        61678.8076656095
2        50      200     54448.2929725579        61678.96887186
2        50      200     54448.3770604208        61679.2421291747
2        50      200     54448.4444307098        61679.8667116489
2        80      125     3444.29099961503        944.587003612095
2        80      125     3444.35180215388        943.579704760963
2        80      125     3444.34947330124        943.586501346358
2        80      125     3444.45723274325        943.915580247075
2        80      125     3444.46068430675        944.088756617092
2        80      125     3444.45235927318        945.327457735242
2        100     100     118393.440882022        127049.636225145
2        100     100     118393.64882682         127050.341484241
2        100     100     118393.959331405        127051.26839963
2        100     100     118393.999858627        127052.285945725
2        100     100     118393.885160805        127052.879608754
2        100     100     118393.835114286        127052.933465215
2        125     80      118700.292661469        146066.211996171
2        125     80      118699.880954371        146065.0907948
2        125     80      118699.730598302        146064.140485871
2        125     80      118699.84166987         146064.19938176
2        125     80      118699.699527988        146063.665275235
2        125     80      118699.519222537        146063.396830861
2        200     50      118587.841017975        19729.2354479788
2        200     50      118587.724030827        19728.1260565723
2        200     50      118587.696692041        19727.379369276
2        200     50      118588.080517699        19728.1915838023
2        200     50      118588.066163584        19725.0012275116
2        200     50      118588.852589974        19726.8661992891
2        250     40      118828.369889785        12404.1082863573
2        250     40      118827.66587245         12401.6085163768
2        250     40      118827.621018279        12402.7447386423
2        250     40      118827.454415156        12401.8528173583
2        250     40      118827.439319239        12401.3804138715
2        250     40      118826.982679504        12399.4994498207
2        500     20      119680.235382762        7158.54785494949
2        500     20      119680.675068104        7150.28226798135
2        500     20      119681.229746606        7148.3054934726
2        500     20      119680.80528138         7146.66023669654
2        500     20      119681.661998579        7148.01516744779
2        500     20      119682.247741921        7144.06890526677
2        625     16      121238.29593444         8139.35807801648
2        625     16      121238.46939399         8142.4998844106
2        625     16      121236.628433067        8140.15939213268
2        625     16      121237.284911794        8139.31635148172
2        625     16      121236.759880038        8142.82234939987
2        625     16      121236.728553201        8145.38343667456
2        1000    10      121378.312188053        4860.25424777514
2        1000    10      121377.914460217        4852.15598955183
2        1000    10      121377.35567967         4845.15892256697
2        1000    10      121377.836780079        4827.15358037944
2        1000    10      121377.215009168        4838.04898139652
2        1000    10      121377.236902961        4838.33353941713
