------Table Size ( 2000000 ) ------
Eps      d       w       MeanS   MedianS
2        1       2000000         8.35171878201145        8.35171878201145
2        1       2000000         8.3330380624547         8.3330380624547
2        1       2000000         8.35186639403791        8.35186639403791
2        1       2000000         8.3659631476456         8.3659631476456
2        1       2000000         8.37994357371708        8.37994357371708
2        1       2000000         8.39444943589493        8.39444943589493
2        2       1000000         13.0648973817231        13.0648973817231
2        2       1000000         13.047241310799         13.047241310799
2        2       1000000         13.0648659517794        13.0648659517794
2        2       1000000         13.082125567993         13.082125567993
2        2       1000000         13.0990012691185        13.0990012691185
2        2       1000000         13.1161476758564        13.1161476758564
2        4       500000  	20.0264918296289        8.89662978975386
2        4       500000  	20.0069298194059        8.85167603620692
2        4       500000  	20.0261133190414        8.89673814646895
2        4       500000  	20.0454806958769        8.94195986615184
2        4       500000  	20.0642330692266        8.98448475194918
2        4       500000  	20.0830692534739        9.02770687084352
2        5       400000  	22.0163381508883        8.42265052287572
2        5       400000  	21.9946652804802        8.35001789359417
2        5       400000  	22.0166209474256        8.42412173545807
2        5       400000  	22.0382687472065        8.49457961239737
2        5       400000  	22.0596649531807        8.5654913740085
2        5       400000 	22.0817900364478        8.63482704718827
2        10      200000  	32.1518532834535        10.1538113884938
2        10      200000  	32.1219924054016        10.034714488986
2        10      200000  	32.1506289619953        10.1514040942723
2        10      200000  	32.1791938691827        10.2648566784365
2        10      200000  	32.2075353273637        10.3760379168503
2        10      200000  	32.2352904052358        10.4812125291181
2        16      125000  	57.8626126717736        28.977817597188
2        16      125000  	57.8537169681517        28.9049399220105
2        16      125000  	57.8658803696396        28.9789572494203
2        16      125000  	57.8747388669154        29.0417182931831
2        16      125000  	57.8837661072372        29.1125002165928
2        16      125000  	57.8912531931759        29.177605999661
2        20      100000  	82.8091923874038        48.900931685426
2        20      100000  	82.8102272348685        48.8584283662522
2        20      100000  	82.8093243484704        48.9056680787939
2        20      100000  	82.8106856450678        48.9497521450432
2        20      100000  	82.8096289899087        48.9960788766267
2        20      100000  	82.820969314455         49.0502921987233
2        25      80000   117.017954381154        82.0349819608251
2        25      80000   117.014806964546        81.934832454964
2        25      80000   117.020486708135        82.0333159790139
