------Table Size ( 500 ) ------
Eps      d       w       MeanS   MedianS
2        500     1       315303.61346295         315304.09855818
2        500     1       315299.386490971        315299.386490971
2        500     1       315294.569921836        315299.827077247
2        500     1       315323.214657893        315319.323390063
2        500     1       315343.363451626        315330.64622039
2        500     1       315344.791387216        315326.093721672
2        250     2       2373340.40079856        203447.829967909
2        250     2       2373337.43315171        203469.561530985
2        250     2       2373337.35079277        203447.243479806
2        250     2       2373336.53913658        203428.171641373
2        250     2       2373334.88413806        203407.060915559
2        250     2       2373335.25687549        203395.456897601
2        125     4       2367834.0508078         2797727.66045126
2        125     4       2367835.10143776        2797726.02670347
2        125     4       2367834.84508425        2797723.704311
2        125     4       2367832.76969643        2797717.07546977
2        125     4       2367834.91985422        2797707.78933242
2        125     4       2367834.45914292        2797702.90137019
2        100     5       63061.2251556786        6529.36475698567
2        100     5       63063.4503058905        6531.87489647566
2        100     5       63063.6441692461        6533.82473101013
2        100     5       63067.041495794         6537.66796069244
2        100     5       63066.3711887418        6539.67020128169
2        100     5       63066.7467093766        6541.52431143853
2        50      10      1088828.9590314         1159945.21315829
2        50      10      1088828.6074786         1159941.2922743
2        50      10      1088828.07491051        1159941.0562241
2        50      10      1088827.57959656        1159943.20667064
2        50      10      1088826.62889573        1159944.60133786
2        50      10      1088827.07584764        1159943.03349667
2        25      20      385973.487739858        534192.665395728
2        25      20      385973.684975066        534193.90221698
2        25      20      385973.715601947        534193.786592877
2        25      20      385973.876267883        534194.866302681
2        25      20      385973.540593805        534194.873381544
2        25      20      385973.48864156         534194.616453012
2        20      25      16057.7946217361        5904.38747546431
2        20      25      16057.8242305032        5904.62588797529
2        20      25      16058.0117413745        5904.07606323698
2        20      25      16058.0847474284        5903.76618552724
2        20      25      16057.826966005         5903.4739120278
2        20      25      16057.9418592265        5903.78202673118
2        10      50      11375.3450254183        4728.724398535
2        10      50      11375.3585721725        4728.61344947068
2        10      50      11375.3058351585        4728.31119362783
2        10      50      11375.3441015129        4728.25916530276
2        10      50      11375.3875844899        4728.25084002665
2        10      50      11375.3577797719        4728.11979127826
2        5       100     7835.40598080325        4221.30536065993
2        5       100     7835.40649887461        4221.20319056759
2        5       100     7835.44050545689        4221.2893454988
2        5       100     7835.42854595004        4221.2705329884
2        5       100     7835.41230048606        4221.40930467787
2        5       100     7835.37836954223        4221.39773310957
2        4       125     7593.56983815564        4354.56112745858
2        4       125     7593.59979434452        4354.53205777978
2        4       125     7593.60826162542        4354.57615442648
2        4       125     7593.58546522551        4354.54177246285
2        4       125     7593.5594098721         4354.49723195918
2        4       125     7593.5600510319         4354.47385297254
2        2       250     5406.91000405811        5406.91000405811
2        2       250     5406.91769701355        5406.91769701355
2        2       250     5406.91275295642        5406.91275295642
2        2       250     5406.92719730748        5406.92719730748
2        2       250     5406.91795328059        5406.91795328059
2        2       250     5406.90681681193        5406.90681681193
2        1       500     4203.49671137445        4203.49671137445
2        1       500     4203.48662909635        4203.48662909635
2        1       500     4203.47920133026        4203.47920133026
2        1       500     4203.48573182109        4203.48573182109
2        1       500     4203.48785878251        4203.48785878251
2        1       500     4203.46853687609        4203.46853687609
